onset	duration	sample	trial_type	response_time	stim_file	value	HED
353.3860000000	n/a	n/a	n/a	n/a	n/a	1	n/a
542.7240000000	n/a	n/a	n/a	n/a	n/a	1	n/a
563.6280000000	n/a	n/a	n/a	n/a	n/a	2	n/a
583.9640000000	n/a	n/a	n/a	n/a	n/a	2	n/a
588.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
589.2800000000	n/a	n/a	n/a	n/a	n/a	150	n/a
592.4100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
593.0800000000	n/a	n/a	n/a	n/a	n/a	250	n/a
596.2200000000	n/a	n/a	n/a	n/a	n/a	350	n/a
602.9000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
604.8760000000	n/a	n/a	n/a	n/a	n/a	4500	n/a
609.4700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
609.8100000000	n/a	n/a	n/a	n/a	n/a	150	n/a
612.9800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
613.6100000000	n/a	n/a	n/a	n/a	n/a	250	n/a
616.7800000000	n/a	n/a	n/a	n/a	n/a	350	n/a
623.4300000000	n/a	n/a	n/a	n/a	n/a	50	n/a
626.2420000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
629.8400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
630.1700000000	n/a	n/a	n/a	n/a	n/a	150	n/a
633.3500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
633.9800000000	n/a	n/a	n/a	n/a	n/a	250	n/a
637.1500000000	n/a	n/a	n/a	n/a	n/a	350	n/a
643.8000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
646.1100000000	n/a	n/a	n/a	n/a	n/a	4500	n/a
650.1200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
650.4600000000	n/a	n/a	n/a	n/a	n/a	150	n/a
653.6300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
654.2600000000	n/a	n/a	n/a	n/a	n/a	250	n/a
657.4300000000	n/a	n/a	n/a	n/a	n/a	350	n/a
664.0800000000	n/a	n/a	n/a	n/a	n/a	50	n/a
666.6260000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
670.3400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
670.7100000000	n/a	n/a	n/a	n/a	n/a	150	n/a
673.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
