onset	duration	sample	trial_type	response_time	stim_file	value	HED
283.6540000000	n/a	n/a	n/a	n/a	n/a	2	n/a
302.6420000000	n/a	n/a	n/a	n/a	n/a	1	n/a
309.1600000000	n/a	n/a	n/a	n/a	n/a	1	n/a
323.3560000000	n/a	n/a	n/a	n/a	n/a	2	n/a
409.2900000000	n/a	n/a	n/a	n/a	n/a	1	n/a
429.0700000000	n/a	n/a	n/a	n/a	n/a	1	n/a
450.9220000000	n/a	n/a	n/a	n/a	n/a	1	n/a
454.0100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
454.3400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
457.5100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
458.1500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
461.3200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
467.9600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
470.1220000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
474.4100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
474.7700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
477.9300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
478.5600000000	n/a	n/a	n/a	n/a	n/a	270	n/a
481.7300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
488.3900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
490.9180000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
494.5700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
494.9000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
498.0800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
498.7100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
501.8800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
508.5300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
512.4820000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
515.0400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
515.3700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
518.5400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
519.1800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
522.3500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
529.0100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
530.7680000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
535.3500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
535.6900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
