onset	duration	sample	trial_type	response_time	stim_file	value	HED
273.4700000000	n/a	n/a	n/a	n/a	n/a	1	n/a
292.9240000000	n/a	n/a	n/a	n/a	n/a	1	n/a
314.5120000000	n/a	n/a	n/a	n/a	n/a	2	n/a
405.1400000000	n/a	n/a	n/a	n/a	n/a	1	n/a
425.1420000000	n/a	n/a	n/a	n/a	n/a	1	n/a
445.7280000000	n/a	n/a	n/a	n/a	n/a	2	n/a
451.1200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
451.4900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
454.6300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
455.3000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
458.4300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
465.1100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
467.1000000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
471.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
471.6200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
474.7900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
475.4300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
478.6000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
485.2400000000	n/a	n/a	n/a	n/a	n/a	70	n/a
489.4060000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
491.7200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
492.0500000000	n/a	n/a	n/a	n/a	n/a	170	n/a
495.2300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
495.8600000000	n/a	n/a	n/a	n/a	n/a	270	n/a
499.0300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
505.6800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
507.3980000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
512.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
512.6200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
515.7900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
516.4300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
519.6000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
526.2400000000	n/a	n/a	n/a	n/a	n/a	70	n/a
528.1700000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
532.8200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
533.1900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
536.3300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
536.9900000000	n/a	n/a	n/a	n/a	n/a	270	n/a
540.1300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
546.8100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
548.9680000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
553.3900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
553.7500000000	n/a	n/a	n/a	n/a	n/a	170	n/a
556.8900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
557.5600000000	n/a	n/a	n/a	n/a	n/a	270	n/a
560.7000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
567.3800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
569.4740000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
573.7900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
574.1500000000	n/a	n/a	n/a	n/a	n/a	170	n/a
577.3100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
577.9400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
581.1100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
587.7600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
591.0040000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
594.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
594.5700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
597.7400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
598.3800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
601.5500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
608.1900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
610.2840000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
614.5400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
614.8700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
618.0400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
618.6700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
621.8500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
628.4900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
631.2940000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
634.9700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
635.3300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
638.4700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
639.1400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
642.2800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
648.9600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
651.1420000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
655.1300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
655.4700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
658.6400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
659.2700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
662.4400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
669.0900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
671.1580000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
675.4300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
675.7700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
678.9400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
679.5700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
682.7400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
689.3900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
691.3780000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
695.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
696.0700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
699.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
699.8700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
703.0100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
709.6900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
711.8920000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
716.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
716.3300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
719.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
720.1400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
723.2800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
729.9500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
732.0360000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
736.5300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
736.8600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
740.0400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
740.6700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
743.8400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
750.4900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
751.5680000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
757.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
757.4600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
760.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
761.2700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
764.4100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
771.0900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
773.5700000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
777.5300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
777.9000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
781.0400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
781.7000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
784.8400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
791.5200000000	n/a	n/a	n/a	n/a	n/a	70	n/a
794.2700000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
797.8300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
798.1600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
801.3300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
801.9700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
805.1400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
811.7800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
813.6540000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
818.2300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
818.5900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
821.7300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
822.4000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
825.5400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
832.2200000000	n/a	n/a	n/a	n/a	n/a	70	n/a
836.0600000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
838.5900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
838.9600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
842.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
842.7700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
845.9100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
852.5700000000	n/a	n/a	n/a	n/a	n/a	70	n/a
855.9580000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
858.8100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
859.1800000000	n/a	n/a	n/a	n/a	n/a	171	n/a
862.3200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
862.9800000000	n/a	n/a	n/a	n/a	n/a	271	n/a
866.1200000000	n/a	n/a	n/a	n/a	n/a	371	n/a
872.7700000000	n/a	n/a	n/a	n/a	n/a	71	n/a
876.1180000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
878.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
879.2800000000	n/a	n/a	n/a	n/a	n/a	171	n/a
882.4100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
883.0800000000	n/a	n/a	n/a	n/a	n/a	271	n/a
886.2200000000	n/a	n/a	n/a	n/a	n/a	371	n/a
892.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
895.4500000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
899.4800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
899.8400000000	n/a	n/a	n/a	n/a	n/a	171	n/a
902.9800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
903.6500000000	n/a	n/a	n/a	n/a	n/a	271	n/a
906.7900000000	n/a	n/a	n/a	n/a	n/a	371	n/a
913.4600000000	n/a	n/a	n/a	n/a	n/a	71	n/a
916.3640000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
919.7400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
920.0700000000	n/a	n/a	n/a	n/a	n/a	171	n/a
923.2500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
923.8800000000	n/a	n/a	n/a	n/a	n/a	271	n/a
927.0500000000	n/a	n/a	n/a	n/a	n/a	371	n/a
933.7100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
935.4680000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
939.9600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
940.2900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
943.4600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
944.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
947.2700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
953.9100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
955.2400000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
960.4200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
960.7600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
963.9300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
964.5600000000	n/a	n/a	n/a	n/a	n/a	271	n/a
967.7300000000	n/a	n/a	n/a	n/a	n/a	371	n/a
974.3800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
977.1280000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
980.7600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
981.1200000000	n/a	n/a	n/a	n/a	n/a	171	n/a
984.2600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
984.9300000000	n/a	n/a	n/a	n/a	n/a	271	n/a
988.0700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
994.7400000000	n/a	n/a	n/a	n/a	n/a	71	n/a
997.0360000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1001.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1001.4000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1004.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1005.2000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1008.4000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1015.0000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1016.7080000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1021.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1021.7000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1024.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1025.5000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1028.6000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1035.3000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1038.2260000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1041.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1041.9000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1045.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1045.7000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1048.9000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1055.5000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1058.8060000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1062.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1062.4000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1065.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1066.2000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1069.4000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1076.0000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1080.4560000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1082.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1082.9000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1086.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1086.7000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1089.8000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1096.5000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1099.5560000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1102.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1103.0000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1106.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1106.8000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1109.9000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1116.6000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1119.6220000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1122.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1123.3000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1126.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1127.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1130.2000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1136.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1139.1680000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1143.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1143.6000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1146.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1147.4000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1150.5000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1157.2000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1160.0680000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1163.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1164.1000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1167.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1167.9000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1171.1000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1177.7000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1181.1760000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1183.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1184.2000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1187.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1188.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1191.2000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1197.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1201.5200000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1204.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1204.6000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1207.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1208.4000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1211.5000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1218.2000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1221.7400000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1224.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1225.0000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1228.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1228.9000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1232.0000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1238.7000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1239.7440000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1245.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1245.4000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1248.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1249.2000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1252.4000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1259.0000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1260.0260000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1265.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1265.6000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1268.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1269.4000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1272.6000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1279.2000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1281.2880000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1285.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1285.7000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1288.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1289.6000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1292.7000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
