onset	duration	sample	trial_type	response_time	stim_file	value	HED
280.3340000000	n/a	n/a	n/a	n/a	n/a	1	n/a
300.1780000000	n/a	n/a	n/a	n/a	n/a	1	n/a
321.3700000000	n/a	n/a	n/a	n/a	n/a	2	n/a
325.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
326.3100000000	n/a	n/a	n/a	n/a	n/a	161	n/a
329.4800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
330.1200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
333.2900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
339.9300000000	n/a	n/a	n/a	n/a	n/a	61	n/a
341.7720000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
346.2100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
346.5400000000	n/a	n/a	n/a	n/a	n/a	161	n/a
349.7200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
350.3500000000	n/a	n/a	n/a	n/a	n/a	261	n/a
353.5200000000	n/a	n/a	n/a	n/a	n/a	361	n/a
360.1600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
362.1100000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
366.6400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
366.9800000000	n/a	n/a	n/a	n/a	n/a	161	n/a
370.1500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
370.7800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
373.9500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
380.6000000000	n/a	n/a	n/a	n/a	n/a	61	n/a
381.6500000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
386.7700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
387.1400000000	n/a	n/a	n/a	n/a	n/a	161	n/a
390.2800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
390.9500000000	n/a	n/a	n/a	n/a	n/a	261	n/a
394.0900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
400.7600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
401.6520000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
407.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
407.5700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
410.7300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
411.3600000000	n/a	n/a	n/a	n/a	n/a	261	n/a
414.5300000000	n/a	n/a	n/a	n/a	n/a	361	n/a
421.2000000000	n/a	n/a	n/a	n/a	n/a	61	n/a
422.9520000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
