onset	duration	sample	trial_type	response_time	stim_file	value	HED
268.3440000000	n/a	n/a	n/a	n/a	n/a	2	n/a
288.4460000000	n/a	n/a	n/a	n/a	n/a	1	n/a
311.8220000000	n/a	n/a	n/a	n/a	n/a	1	n/a
370.8360000000	n/a	n/a	n/a	n/a	n/a	2	n/a
388.7500000000	n/a	n/a	n/a	n/a	n/a	1	n/a
410.6860000000	n/a	n/a	n/a	n/a	n/a	1	n/a
414.5300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
414.8600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
418.0300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
418.6700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
421.8400000000	n/a	n/a	n/a	n/a	n/a	371	n/a
428.4800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
435.0300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
435.3600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
435.5560000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
438.5300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
439.1700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
442.3200000000	n/a	n/a	n/a	n/a	n/a	371	n/a
449.0000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
454.9440000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
455.2800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
455.6100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
458.7800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
459.4100000000	n/a	n/a	n/a	n/a	n/a	271	n/a
462.5900000000	n/a	n/a	n/a	n/a	n/a	371	n/a
469.2300000000	n/a	n/a	n/a	n/a	n/a	71	n/a
471.9420000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
475.8400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
476.2100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
479.3500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
480.0100000000	n/a	n/a	n/a	n/a	n/a	271	n/a
483.1500000000	n/a	n/a	n/a	n/a	n/a	371	n/a
489.8300000000	n/a	n/a	n/a	n/a	n/a	71	n/a
495.4700000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
496.3400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
496.7100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
499.8600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
500.5000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
503.6700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
510.3100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
516.4700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
516.4760000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
516.8100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
519.9800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
520.6300000000	n/a	n/a	n/a	n/a	n/a	271	n/a
523.7800000000	n/a	n/a	n/a	n/a	n/a	371	n/a
530.4300000000	n/a	n/a	n/a	n/a	n/a	71	n/a
