onset	duration	sample	trial_type	response_time	stim_file	value	HED
266.3820000000	n/a	n/a	n/a	n/a	n/a	1	n/a
285.5020000000	n/a	n/a	n/a	n/a	n/a	1	n/a
478.1660000000	n/a	n/a	n/a	n/a	n/a	1	n/a
497.9000000000	n/a	n/a	n/a	n/a	n/a	1	n/a
520.0240000000	n/a	n/a	n/a	n/a	n/a	2	n/a
523.0900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
523.4200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
526.5900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
527.2300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
530.4000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
537.0400000000	n/a	n/a	n/a	n/a	n/a	70	n/a
539.0100000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
543.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
543.5700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
546.7400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
547.3800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
550.5500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
557.1900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
559.0820000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
563.6700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
564.0000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
567.1800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
567.8100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
570.9800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
577.6300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
579.0480000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
584.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
584.5700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
587.7400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
588.3800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
591.5500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
598.2100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
600.9200000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
604.7700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
605.1200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
608.2700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
608.9400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
612.0800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
618.7600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
620.1100000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
625.3400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
625.7000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
628.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
629.5100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
632.6500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
639.3100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
641.2980000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
645.7500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
646.0800000000	n/a	n/a	n/a	n/a	n/a	170	n/a
649.2600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
649.8900000000	n/a	n/a	n/a	n/a	n/a	270	n/a
653.0600000000	n/a	n/a	n/a	n/a	n/a	370	n/a
659.7100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
663.0800000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
666.1800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
666.5200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
669.6900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
670.3200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
673.4900000000	n/a	n/a	n/a	n/a	n/a	370	n/a
680.1400000000	n/a	n/a	n/a	n/a	n/a	70	n/a
682.6920000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
686.4800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
686.8200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
689.9900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
690.6200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
693.7800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
700.4400000000	n/a	n/a	n/a	n/a	n/a	70	n/a
704.0820000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
706.9200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
707.2800000000	n/a	n/a	n/a	n/a	n/a	170	n/a
710.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
711.0900000000	n/a	n/a	n/a	n/a	n/a	270	n/a
714.2300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
720.9000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
