onset	duration	sample	trial_type	response_time	stim_file	value	HED
291.7280000000	n/a	n/a	n/a	n/a	n/a	2	n/a
566.2180000000	n/a	n/a	n/a	n/a	n/a	1	n/a
588.9440000000	n/a	n/a	n/a	n/a	n/a	2	n/a
591.8300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
592.1600000000	n/a	n/a	n/a	n/a	n/a	150	n/a
595.3300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
595.9600000000	n/a	n/a	n/a	n/a	n/a	250	n/a
599.1400000000	n/a	n/a	n/a	n/a	n/a	350	n/a
605.7800000000	n/a	n/a	n/a	n/a	n/a	50	n/a
607.9260000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
611.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
612.2400000000	n/a	n/a	n/a	n/a	n/a	150	n/a
615.4100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
616.0500000000	n/a	n/a	n/a	n/a	n/a	250	n/a
619.2000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
625.8800000000	n/a	n/a	n/a	n/a	n/a	50	n/a
629.1000000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
632.3200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
632.6600000000	n/a	n/a	n/a	n/a	n/a	150	n/a
635.8300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
636.4600000000	n/a	n/a	n/a	n/a	n/a	250	n/a
639.6400000000	n/a	n/a	n/a	n/a	n/a	350	n/a
646.2800000000	n/a	n/a	n/a	n/a	n/a	50	n/a
648.0720000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
652.8400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
653.1700000000	n/a	n/a	n/a	n/a	n/a	150	n/a
656.3400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
656.9800000000	n/a	n/a	n/a	n/a	n/a	250	n/a
660.1500000000	n/a	n/a	n/a	n/a	n/a	350	n/a
666.7900000000	n/a	n/a	n/a	n/a	n/a	50	n/a
669.2560000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
673.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
673.6100000000	n/a	n/a	n/a	n/a	n/a	150	n/a
676.7600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
677.3900000000	n/a	n/a	n/a	n/a	n/a	250	n/a
680.5700000000	n/a	n/a	n/a	n/a	n/a	350	n/a
687.2300000000	n/a	n/a	n/a	n/a	n/a	50	n/a
690.0380000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
693.3400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
693.7100000000	n/a	n/a	n/a	n/a	n/a	150	n/a
696.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
697.5100000000	n/a	n/a	n/a	n/a	n/a	250	n/a
700.6500000000	n/a	n/a	n/a	n/a	n/a	350	n/a
707.3100000000	n/a	n/a	n/a	n/a	n/a	50	n/a
710.5280000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
713.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
714.1700000000	n/a	n/a	n/a	n/a	n/a	150	n/a
717.3100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
717.9800000000	n/a	n/a	n/a	n/a	n/a	250	n/a
721.1100000000	n/a	n/a	n/a	n/a	n/a	350	n/a
727.7900000000	n/a	n/a	n/a	n/a	n/a	50	n/a
730.1920000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
734.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
734.5700000000	n/a	n/a	n/a	n/a	n/a	150	n/a
737.7100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
738.3800000000	n/a	n/a	n/a	n/a	n/a	250	n/a
741.5100000000	n/a	n/a	n/a	n/a	n/a	350	n/a
748.1900000000	n/a	n/a	n/a	n/a	n/a	50	n/a
751.5340000000	n/a	n/a	n/a	n/a	n/a	4500	n/a
754.1800000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
754.3400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
754.7000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
757.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
758.5100000000	n/a	n/a	n/a	n/a	n/a	250	n/a
761.6500000000	n/a	n/a	n/a	n/a	n/a	350	n/a
768.3200000000	n/a	n/a	n/a	n/a	n/a	50	n/a
770.3680000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
774.8700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
775.2000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
778.3700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
779.0100000000	n/a	n/a	n/a	n/a	n/a	250	n/a
782.1800000000	n/a	n/a	n/a	n/a	n/a	350	n/a
788.8200000000	n/a	n/a	n/a	n/a	n/a	50	n/a
790.5380000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
795.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
795.4300000000	n/a	n/a	n/a	n/a	n/a	150	n/a
798.6100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
799.2400000000	n/a	n/a	n/a	n/a	n/a	250	n/a
802.4100000000	n/a	n/a	n/a	n/a	n/a	350	n/a
809.0600000000	n/a	n/a	n/a	n/a	n/a	50	n/a
810.7760000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
815.4700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
815.8000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
818.9700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
819.6100000000	n/a	n/a	n/a	n/a	n/a	250	n/a
822.7800000000	n/a	n/a	n/a	n/a	n/a	350	n/a
829.4400000000	n/a	n/a	n/a	n/a	n/a	50	n/a
831.5240000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
835.6800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
836.0500000000	n/a	n/a	n/a	n/a	n/a	150	n/a
839.1900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
839.8600000000	n/a	n/a	n/a	n/a	n/a	250	n/a
842.9900000000	n/a	n/a	n/a	n/a	n/a	350	n/a
849.6700000000	n/a	n/a	n/a	n/a	n/a	50	n/a
851.5400000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
855.8800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
