onset	duration	sample	trial_type	response_time	stim_file	value	HED
269.1760000000	n/a	n/a	n/a	n/a	n/a	2	n/a
292.9860000000	n/a	n/a	n/a	n/a	n/a	1	n/a
309.4820000000	n/a	n/a	n/a	n/a	n/a	1	n/a
332.9300000000	n/a	n/a	n/a	n/a	n/a	1	n/a
368.4420000000	n/a	n/a	n/a	n/a	n/a	1	n/a
388.1480000000	n/a	n/a	n/a	n/a	n/a	1	n/a
411.1140000000	n/a	n/a	n/a	n/a	n/a	2	n/a
413.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
414.2500000000	n/a	n/a	n/a	n/a	n/a	170	n/a
417.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
418.0500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
421.2200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
427.8700000000	n/a	n/a	n/a	n/a	n/a	70	n/a
429.5240000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
434.3100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
434.6800000000	n/a	n/a	n/a	n/a	n/a	170	n/a
437.8200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
438.4900000000	n/a	n/a	n/a	n/a	n/a	270	n/a
441.6200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
448.3000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
449.6840000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
454.1460000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
454.4800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
454.8100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
457.9800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
458.6200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
461.7900000000	n/a	n/a	n/a	n/a	n/a	370	n/a
468.4300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
472.1480000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
474.9400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
475.2800000000	n/a	n/a	n/a	n/a	n/a	170	n/a
478.4500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
479.0800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
482.2600000000	n/a	n/a	n/a	n/a	n/a	370	n/a
488.9000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
490.1200000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
495.2400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
495.6100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
498.7500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
499.4200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
502.5600000000	n/a	n/a	n/a	n/a	n/a	370	n/a
509.2300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
511.6240000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
515.7400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
516.0800000000	n/a	n/a	n/a	n/a	n/a	170	n/a
519.2500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
519.8800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
523.0600000000	n/a	n/a	n/a	n/a	n/a	370	n/a
529.7000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
531.6220000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
536.1100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
536.4400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
539.6200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
540.2500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
543.4200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
550.0700000000	n/a	n/a	n/a	n/a	n/a	70	n/a
551.8920000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
556.5800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
556.9400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
560.0800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
560.7500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
563.8900000000	n/a	n/a	n/a	n/a	n/a	370	n/a
570.5700000000	n/a	n/a	n/a	n/a	n/a	70	n/a
573.9120000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
576.9400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
577.3100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
580.4500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
581.1200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
584.2500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
590.9300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
592.4920000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
597.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
597.6200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
600.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
601.4300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
604.6000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
611.2500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
612.0880000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
613.5400000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
617.5600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
617.9200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
621.0600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
621.7300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
624.8700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
631.5500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
632.9300000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
638.0200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
638.3600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
641.5300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
642.1600000000	n/a	n/a	n/a	n/a	n/a	270	n/a
645.3300000000	n/a	n/a	n/a	n/a	n/a	370	n/a
651.9800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
654.5720000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
658.5600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
658.9200000000	n/a	n/a	n/a	n/a	n/a	170	n/a
662.0800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
662.7100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
665.8800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
672.5500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
673.5600000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
674.2340000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
679.0200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
679.3900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
682.5400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
683.1800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
686.3500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
692.9900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
694.6960000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
699.2100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
699.5400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
702.7100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
703.3400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
706.5200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
713.1600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
714.5900000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
719.6400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
719.9700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
723.1400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
723.7800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
726.9500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
733.5900000000	n/a	n/a	n/a	n/a	n/a	70	n/a
736.3760000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
739.9400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
740.3000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
743.4400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
744.1100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
747.2500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
753.9300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
754.8120000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
760.3700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
760.7000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
763.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
764.5100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
767.6500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
774.3300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
775.9680000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
780.4700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
780.8400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
783.9700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
784.6400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
787.7800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
