onset	duration	sample	trial_type	response_time	stim_file	value	HED
359.3220000000	n/a	n/a	n/a	n/a	n/a	2	n/a
617.5520000000	n/a	n/a	n/a	n/a	n/a	2	n/a
637.1620000000	n/a	n/a	n/a	n/a	n/a	1	n/a
659.1440000000	n/a	n/a	n/a	n/a	n/a	2	n/a
662.0200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
662.3600000000	n/a	n/a	n/a	n/a	n/a	160	n/a
665.5300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
666.1600000000	n/a	n/a	n/a	n/a	n/a	260	n/a
669.3300000000	n/a	n/a	n/a	n/a	n/a	360	n/a
675.9800000000	n/a	n/a	n/a	n/a	n/a	60	n/a
677.6020000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
682.4600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
682.7900000000	n/a	n/a	n/a	n/a	n/a	160	n/a
685.9600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
686.6000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
689.7700000000	n/a	n/a	n/a	n/a	n/a	360	n/a
696.4100000000	n/a	n/a	n/a	n/a	n/a	60	n/a
699.0400000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
703.0200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
703.3600000000	n/a	n/a	n/a	n/a	n/a	160	n/a
706.5100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
707.1800000000	n/a	n/a	n/a	n/a	n/a	260	n/a
710.3200000000	n/a	n/a	n/a	n/a	n/a	360	n/a
716.9900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
719.3600000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
723.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
723.5700000000	n/a	n/a	n/a	n/a	n/a	160	n/a
726.7100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
727.3800000000	n/a	n/a	n/a	n/a	n/a	260	n/a
730.5200000000	n/a	n/a	n/a	n/a	n/a	360	n/a
737.1900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
739.2780000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
743.3700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
743.7400000000	n/a	n/a	n/a	n/a	n/a	160	n/a
746.8700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
747.5400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
750.6800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
757.3600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
759.3240000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
763.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
764.1400000000	n/a	n/a	n/a	n/a	n/a	160	n/a
767.3100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
767.9400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
771.1100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
777.7600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
782.5560000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
784.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
784.4700000000	n/a	n/a	n/a	n/a	n/a	160	n/a
787.6100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
788.2700000000	n/a	n/a	n/a	n/a	n/a	260	n/a
791.4100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
798.0900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
800.6180000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
804.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
804.7300000000	n/a	n/a	n/a	n/a	n/a	160	n/a
807.9100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
808.5400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
811.7100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
818.3600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
821.7120000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
824.5100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
824.8800000000	n/a	n/a	n/a	n/a	n/a	160	n/a
828.0400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
828.6700000000	n/a	n/a	n/a	n/a	n/a	260	n/a
831.8400000000	n/a	n/a	n/a	n/a	n/a	360	n/a
838.5000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
842.0120000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
844.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
845.2500000000	n/a	n/a	n/a	n/a	n/a	160	n/a
848.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
849.0500000000	n/a	n/a	n/a	n/a	n/a	260	n/a
852.2100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
858.8900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
862.7800000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
865.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
865.6600000000	n/a	n/a	n/a	n/a	n/a	160	n/a
868.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
869.4700000000	n/a	n/a	n/a	n/a	n/a	260	n/a
872.6100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
879.2900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
882.7620000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
885.5300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
885.9000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
889.0300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
889.7000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
892.8400000000	n/a	n/a	n/a	n/a	n/a	360	n/a
899.5000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
901.6980000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
905.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
906.3500000000	n/a	n/a	n/a	n/a	n/a	160	n/a
909.4800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
910.1500000000	n/a	n/a	n/a	n/a	n/a	260	n/a
913.2900000000	n/a	n/a	n/a	n/a	n/a	360	n/a
919.9700000000	n/a	n/a	n/a	n/a	n/a	60	n/a
921.7760000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
926.3600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
926.7100000000	n/a	n/a	n/a	n/a	n/a	160	n/a
929.8800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
930.5200000000	n/a	n/a	n/a	n/a	n/a	260	n/a
933.6900000000	n/a	n/a	n/a	n/a	n/a	360	n/a
940.3500000000	n/a	n/a	n/a	n/a	n/a	60	n/a
943.3640000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
946.8100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
947.1400000000	n/a	n/a	n/a	n/a	n/a	160	n/a
950.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
950.9700000000	n/a	n/a	n/a	n/a	n/a	260	n/a
954.1200000000	n/a	n/a	n/a	n/a	n/a	360	n/a
960.7700000000	n/a	n/a	n/a	n/a	n/a	60	n/a
964.1700000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
967.1400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
967.5100000000	n/a	n/a	n/a	n/a	n/a	160	n/a
970.6500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
971.3200000000	n/a	n/a	n/a	n/a	n/a	260	n/a
974.4500000000	n/a	n/a	n/a	n/a	n/a	360	n/a
981.1100000000	n/a	n/a	n/a	n/a	n/a	60	n/a
983.1040000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
987.4400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
987.7700000000	n/a	n/a	n/a	n/a	n/a	160	n/a
990.9500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
991.5800000000	n/a	n/a	n/a	n/a	n/a	260	n/a
994.7500000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1001.4000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1003.6980000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1007.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1008.0000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1011.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1011.8000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1015.0000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1021.6000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1024.5380000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1028.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1028.4000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1031.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1032.2000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1035.4000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1042.1000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1043.5920000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1048.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1048.9000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
1052.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1052.7000000000	n/a	n/a	n/a	n/a	n/a	260	n/a
1055.9000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
1062.6000000000	n/a	n/a	n/a	n/a	n/a	60	n/a
1064.6460000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
1069.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1069.5000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1072.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1073.3000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1076.5000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1083.1000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1088.3880000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1089.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1089.7000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1092.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1093.5000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1096.6000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1103.3000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1106.8820000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1109.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1110.2000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1113.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1114.0000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1117.1000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1123.8000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1127.3860000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1130.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1130.3000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1133.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1134.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1137.3000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1143.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1149.4800000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1150.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1150.8000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1153.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1154.6000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1157.7000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1164.4000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1166.4420000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1170.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1171.0000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1174.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1174.8000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1178.0000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1184.6000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1189.3100000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1191.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1191.4000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1194.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1195.2000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1198.3000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1205.0000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1206.7940000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1211.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1211.8000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1214.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1215.6000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1218.7000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1225.4000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1231.0220000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1232.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1232.3000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1235.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1236.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1239.3000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1245.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1250.1600000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1252.4000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1252.7000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1255.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1256.6000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1259.7000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1266.4000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1270.6600000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1272.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1273.3000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1276.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1277.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1280.2000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1286.9000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1290.6720000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1293.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1293.5000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1296.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1297.3000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1300.5000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1307.1000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1311.7320000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1313.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1313.9000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1317.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1317.7000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1320.9000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1327.6000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1333.7040000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
1334.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1334.5000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1337.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1338.3000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
1341.5000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
1348.1000000000	n/a	n/a	n/a	n/a	n/a	71	n/a
1352.5360000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
1354.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1355.0000000000	n/a	n/a	n/a	n/a	n/a	171	n/a
1358.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1358.8000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
