onset	duration	sample	trial_type	response_time	stim_file	value	HED
277.8420000000	n/a	n/a	n/a	n/a	n/a	2	n/a
293.4940000000	n/a	n/a	n/a	n/a	n/a	1	n/a
316.7520000000	n/a	n/a	n/a	n/a	n/a	2	n/a
358.9820000000	n/a	n/a	n/a	n/a	n/a	1	n/a
379.5380000000	n/a	n/a	n/a	n/a	n/a	1	n/a
401.0260000000	n/a	n/a	n/a	n/a	n/a	2	n/a
405.2600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
405.6300000000	n/a	n/a	n/a	n/a	n/a	171	n/a
408.7700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
409.4400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
412.5800000000	n/a	n/a	n/a	n/a	n/a	371	n/a
419.2500000000	n/a	n/a	n/a	n/a	n/a	71	n/a
421.9160000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
425.7600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
426.1300000000	n/a	n/a	n/a	n/a	n/a	171	n/a
429.2700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
429.9400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
433.0800000000	n/a	n/a	n/a	n/a	n/a	371	n/a
439.7500000000	n/a	n/a	n/a	n/a	n/a	71	n/a
441.6900000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
446.0300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
446.3600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
449.5400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
450.1700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
453.3400000000	n/a	n/a	n/a	n/a	n/a	371	n/a
459.9900000000	n/a	n/a	n/a	n/a	n/a	71	n/a
461.5580000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
466.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
466.9300000000	n/a	n/a	n/a	n/a	n/a	171	n/a
470.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
470.7400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
473.9100000000	n/a	n/a	n/a	n/a	n/a	371	n/a
480.5500000000	n/a	n/a	n/a	n/a	n/a	71	n/a
483.6640000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
487.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
487.4600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
490.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
491.2700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
494.4100000000	n/a	n/a	n/a	n/a	n/a	371	n/a
501.0900000000	n/a	n/a	n/a	n/a	n/a	71	n/a
504.3640000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
507.2300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
507.5600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
510.7300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
511.3700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
514.5400000000	n/a	n/a	n/a	n/a	n/a	371	n/a
521.1800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
523.1800000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
527.7500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
528.1100000000	n/a	n/a	n/a	n/a	n/a	171	n/a
531.2500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
531.9200000000	n/a	n/a	n/a	n/a	n/a	271	n/a
535.0600000000	n/a	n/a	n/a	n/a	n/a	371	n/a
541.7300000000	n/a	n/a	n/a	n/a	n/a	71	n/a
545.6220000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
548.0900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
548.4600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
551.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
552.2700000000	n/a	n/a	n/a	n/a	n/a	271	n/a
555.4100000000	n/a	n/a	n/a	n/a	n/a	371	n/a
562.0800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
565.4500000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
568.2600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
568.5900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
571.7700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
572.4000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
575.5700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
582.2200000000	n/a	n/a	n/a	n/a	n/a	71	n/a
583.5460000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
588.5600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
588.8900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
592.0600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
592.7000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
595.8700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
602.5200000000	n/a	n/a	n/a	n/a	n/a	71	n/a
604.7860000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
609.0300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
609.3900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
612.5300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
613.2000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
616.3400000000	n/a	n/a	n/a	n/a	n/a	371	n/a
622.9800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
627.4720000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
629.1900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
