onset	duration	sample	trial_type	response_time	stim_file	value	HED
322.5120000000	n/a	n/a	n/a	n/a	n/a	2	n/a
340.9060000000	n/a	n/a	n/a	n/a	n/a	1	n/a
362.1940000000	n/a	n/a	n/a	n/a	n/a	2	n/a
414.0240000000	n/a	n/a	n/a	n/a	n/a	2	n/a
434.0740000000	n/a	n/a	n/a	n/a	n/a	1	n/a
455.1100000000	n/a	n/a	n/a	n/a	n/a	2	n/a
459.9500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
460.2800000000	n/a	n/a	n/a	n/a	n/a	161	n/a
463.4600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
464.0900000000	n/a	n/a	n/a	n/a	n/a	261	n/a
467.2600000000	n/a	n/a	n/a	n/a	n/a	361	n/a
473.9100000000	n/a	n/a	n/a	n/a	n/a	61	n/a
475.0560000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
480.4800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
480.8500000000	n/a	n/a	n/a	n/a	n/a	161	n/a
483.9900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
484.6600000000	n/a	n/a	n/a	n/a	n/a	261	n/a
487.7900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
494.4700000000	n/a	n/a	n/a	n/a	n/a	61	n/a
495.9420000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
500.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
501.3200000000	n/a	n/a	n/a	n/a	n/a	161	n/a
504.4900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
505.1200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
508.2900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
514.9400000000	n/a	n/a	n/a	n/a	n/a	61	n/a
516.6380000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
521.4200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
521.7500000000	n/a	n/a	n/a	n/a	n/a	161	n/a
524.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
525.5700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
528.7100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
535.3900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
537.7700000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
541.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
541.9700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
545.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
545.7700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
548.9100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
555.5900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
557.4160000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
561.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
562.0600000000	n/a	n/a	n/a	n/a	n/a	161	n/a
565.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
565.8700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
569.0100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
575.6700000000	n/a	n/a	n/a	n/a	n/a	61	n/a
578.9420000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
581.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
582.2500000000	n/a	n/a	n/a	n/a	n/a	161	n/a
585.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
586.0500000000	n/a	n/a	n/a	n/a	n/a	261	n/a
589.2300000000	n/a	n/a	n/a	n/a	n/a	361	n/a
595.8700000000	n/a	n/a	n/a	n/a	n/a	61	n/a
598.0240000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
602.2800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
602.6100000000	n/a	n/a	n/a	n/a	n/a	161	n/a
605.7800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
606.4200000000	n/a	n/a	n/a	n/a	n/a	261	n/a
609.5900000000	n/a	n/a	n/a	n/a	n/a	361	n/a
616.2500000000	n/a	n/a	n/a	n/a	n/a	61	n/a
618.0200000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
622.6900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
623.0300000000	n/a	n/a	n/a	n/a	n/a	161	n/a
626.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
626.8300000000	n/a	n/a	n/a	n/a	n/a	261	n/a
630.0100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
