onset	duration	sample	trial_type	response_time	stim_file	value	HED
282.5940000000	n/a	n/a	n/a	n/a	n/a	2	n/a
499.1000000000	n/a	n/a	n/a	n/a	n/a	1	n/a
522.8940000000	n/a	n/a	n/a	n/a	n/a	1	n/a
523.9600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
524.2900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
527.4600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
528.1000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
531.2700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
537.9200000000	n/a	n/a	n/a	n/a	n/a	71	n/a
542.7220000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
544.4600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
544.7900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
547.9600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
548.6000000000	n/a	n/a	n/a	n/a	n/a	271	n/a
551.7700000000	n/a	n/a	n/a	n/a	n/a	371	n/a
558.4100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
561.3380000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
564.6900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
565.0600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
568.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
568.8600000000	n/a	n/a	n/a	n/a	n/a	271	n/a
572.0000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
578.6800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
582.2640000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
585.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
585.6200000000	n/a	n/a	n/a	n/a	n/a	171	n/a
588.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
589.4300000000	n/a	n/a	n/a	n/a	n/a	271	n/a
592.6000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
599.2500000000	n/a	n/a	n/a	n/a	n/a	71	n/a
604.1800000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
605.7900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
606.1200000000	n/a	n/a	n/a	n/a	n/a	171	n/a
609.2900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
609.9300000000	n/a	n/a	n/a	n/a	n/a	271	n/a
613.1000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
619.7600000000	n/a	n/a	n/a	n/a	n/a	71	n/a
623.0760000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
625.8900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
626.2600000000	n/a	n/a	n/a	n/a	n/a	171	n/a
629.3900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
630.0600000000	n/a	n/a	n/a	n/a	n/a	271	n/a
633.2000000000	n/a	n/a	n/a	n/a	n/a	371	n/a
639.8800000000	n/a	n/a	n/a	n/a	n/a	71	n/a
644.5440000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
646.4200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
646.7900000000	n/a	n/a	n/a	n/a	n/a	171	n/a
649.9300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
650.5900000000	n/a	n/a	n/a	n/a	n/a	271	n/a
653.7300000000	n/a	n/a	n/a	n/a	n/a	371	n/a
660.4100000000	n/a	n/a	n/a	n/a	n/a	71	n/a
664.6140000000	n/a	n/a	n/a	n/a	n/a	4710	n/a
666.7700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
667.1400000000	n/a	n/a	n/a	n/a	n/a	171	n/a
670.2800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
670.9400000000	n/a	n/a	n/a	n/a	n/a	271	n/a
674.0800000000	n/a	n/a	n/a	n/a	n/a	371	n/a
680.7600000000	n/a	n/a	n/a	n/a	n/a	71	n/a
684.0020000000	n/a	n/a	n/a	n/a	n/a	4711	n/a
686.9400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
687.2700000000	n/a	n/a	n/a	n/a	n/a	171	n/a
690.4400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
691.0800000000	n/a	n/a	n/a	n/a	n/a	271	n/a
