onset	duration	sample	trial_type	response_time	stim_file	value	HED
503.0740000000	n/a	n/a	n/a	n/a	n/a	2	n/a
524.0280000000	n/a	n/a	n/a	n/a	n/a	1	n/a
667.3080000000	n/a	n/a	n/a	n/a	n/a	2	n/a
687.7380000000	n/a	n/a	n/a	n/a	n/a	1	n/a
708.3040000000	n/a	n/a	n/a	n/a	n/a	1	n/a
713.6300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
713.9600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
717.1200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
717.7900000000	n/a	n/a	n/a	n/a	n/a	270	n/a
720.9200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
727.6000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
728.8700000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
734.0300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
734.4000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
737.5300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
738.2000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
741.3400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
748.0200000000	n/a	n/a	n/a	n/a	n/a	70	n/a
749.9560000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
754.1900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
754.5300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
757.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
758.3300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
761.5100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
768.1700000000	n/a	n/a	n/a	n/a	n/a	70	n/a
772.2040000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
774.6400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
775.0100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
778.1500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
778.8200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
781.9700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
788.6200000000	n/a	n/a	n/a	n/a	n/a	70	n/a
790.0480000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
794.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
795.3100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
798.4800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
799.1200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
802.2700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
808.9300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
810.9780000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
815.4400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
815.8100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
818.9500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
819.6200000000	n/a	n/a	n/a	n/a	n/a	270	n/a
822.7500000000	n/a	n/a	n/a	n/a	n/a	370	n/a
829.4300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
831.6220000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
835.8100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
836.1700000000	n/a	n/a	n/a	n/a	n/a	170	n/a
839.3100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
839.9800000000	n/a	n/a	n/a	n/a	n/a	270	n/a
843.1200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
849.8000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
852.9200000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
856.3100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
856.6400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
859.8100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
860.4500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
863.6200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
870.2600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
872.3580000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
876.6700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
877.0100000000	n/a	n/a	n/a	n/a	n/a	170	n/a
880.1800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
880.8100000000	n/a	n/a	n/a	n/a	n/a	270	n/a
883.9900000000	n/a	n/a	n/a	n/a	n/a	370	n/a
890.6300000000	n/a	n/a	n/a	n/a	n/a	70	n/a
893.2360000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
897.0100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
897.3400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
900.5100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
901.1500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
904.3200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
910.9600000000	n/a	n/a	n/a	n/a	n/a	70	n/a
914.0260000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
917.2700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
917.6400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
920.7800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
921.4500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
924.5800000000	n/a	n/a	n/a	n/a	n/a	370	n/a
