onset	duration	sample	trial_type	response_time	stim_file	value	HED
512.4060000000	n/a	n/a	n/a	n/a	n/a	2	n/a
530.2940000000	n/a	n/a	n/a	n/a	n/a	1	n/a
568.7540000000	n/a	n/a	n/a	n/a	n/a	2	n/a
587.4720000000	n/a	n/a	n/a	n/a	n/a	1	n/a
588.8840000000	n/a	n/a	n/a	n/a	n/a	1	n/a
609.3880000000	n/a	n/a	n/a	n/a	n/a	1	n/a
614.5500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
614.9200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
618.0500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
618.7200000000	n/a	n/a	n/a	n/a	n/a	251	n/a
621.8600000000	n/a	n/a	n/a	n/a	n/a	351	n/a
628.5400000000	n/a	n/a	n/a	n/a	n/a	51	n/a
630.1420000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
634.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
635.3500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
638.4900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
639.1600000000	n/a	n/a	n/a	n/a	n/a	251	n/a
642.2900000000	n/a	n/a	n/a	n/a	n/a	351	n/a
648.9700000000	n/a	n/a	n/a	n/a	n/a	51	n/a
652.9600000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
655.4100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
655.7500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
658.9200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
659.5500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
662.7300000000	n/a	n/a	n/a	n/a	n/a	351	n/a
669.3700000000	n/a	n/a	n/a	n/a	n/a	51	n/a
670.1520000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
675.7100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
676.0500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
