onset	duration	sample	trial_type	response_time	stim_file	value	HED
346.2860000000	n/a	n/a	n/a	n/a	n/a	1	n/a
512.8560000000	n/a	n/a	n/a	n/a	n/a	1	n/a
532.0160000000	n/a	n/a	n/a	n/a	n/a	1	n/a
557.7600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
557.9580000000	n/a	n/a	n/a	n/a	n/a	2	n/a
558.1000000000	n/a	n/a	n/a	n/a	n/a	170	n/a
561.2700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
561.9000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
565.0700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
571.7200000000	n/a	n/a	n/a	n/a	n/a	70	n/a
574.2980000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
578.1600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
578.5300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
581.6700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
582.3400000000	n/a	n/a	n/a	n/a	n/a	270	n/a
585.4700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
592.1500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
593.6600000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
598.3300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
598.6600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
601.8300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
602.4700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
605.6400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
612.2800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
616.1680000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
618.6180000000	n/a	n/a	n/a	n/a	n/a	4700	n/a
618.7900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
619.1300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
622.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
622.9300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
626.1100000000	n/a	n/a	n/a	n/a	n/a	370	n/a
632.7500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
633.5740000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
639.0900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
639.4600000000	n/a	n/a	n/a	n/a	n/a	170	n/a
642.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
643.2700000000	n/a	n/a	n/a	n/a	n/a	270	n/a
646.4000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
653.0800000000	n/a	n/a	n/a	n/a	n/a	70	n/a
656.5000000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
659.5900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
659.9300000000	n/a	n/a	n/a	n/a	n/a	170	n/a
663.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
663.7300000000	n/a	n/a	n/a	n/a	n/a	270	n/a
666.9000000000	n/a	n/a	n/a	n/a	n/a	370	n/a
673.5500000000	n/a	n/a	n/a	n/a	n/a	70	n/a
674.9820000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
679.9600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
680.2900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
683.4600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
684.1000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
687.2700000000	n/a	n/a	n/a	n/a	n/a	370	n/a
693.9100000000	n/a	n/a	n/a	n/a	n/a	70	n/a
698.2080000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
700.4200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
700.7900000000	n/a	n/a	n/a	n/a	n/a	170	n/a
703.9300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
704.6000000000	n/a	n/a	n/a	n/a	n/a	270	n/a
707.7400000000	n/a	n/a	n/a	n/a	n/a	370	n/a
714.4000000000	n/a	n/a	n/a	n/a	n/a	70	n/a
718.6020000000	n/a	n/a	n/a	n/a	n/a	4701	n/a
720.8100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
721.1400000000	n/a	n/a	n/a	n/a	n/a	170	n/a
724.3100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
724.9500000000	n/a	n/a	n/a	n/a	n/a	270	n/a
728.1200000000	n/a	n/a	n/a	n/a	n/a	370	n/a
