onset	duration	sample	trial_type	response_time	stim_file	value	HED
344.1360000000	n/a	n/a	n/a	n/a	n/a	2	n/a
429.0280000000	n/a	n/a	n/a	n/a	n/a	2	n/a
446.4700000000	n/a	n/a	n/a	n/a	n/a	1	n/a
471.2800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
471.4840000000	n/a	n/a	n/a	n/a	n/a	2	n/a
471.6400000000	n/a	n/a	n/a	n/a	n/a	151	n/a
474.7800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
475.4500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
478.5900000000	n/a	n/a	n/a	n/a	n/a	351	n/a
485.2600000000	n/a	n/a	n/a	n/a	n/a	51	n/a
491.7100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
491.8640000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
492.0800000000	n/a	n/a	n/a	n/a	n/a	151	n/a
495.2100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
495.8800000000	n/a	n/a	n/a	n/a	n/a	251	n/a
499.0200000000	n/a	n/a	n/a	n/a	n/a	351	n/a
505.7000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
508.9540000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
512.1400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
512.4800000000	n/a	n/a	n/a	n/a	n/a	151	n/a
515.6500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
516.2800000000	n/a	n/a	n/a	n/a	n/a	251	n/a
519.4500000000	n/a	n/a	n/a	n/a	n/a	351	n/a
526.1000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
527.5520000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
532.4200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
532.7900000000	n/a	n/a	n/a	n/a	n/a	151	n/a
535.9500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
536.5800000000	n/a	n/a	n/a	n/a	n/a	251	n/a
539.7500000000	n/a	n/a	n/a	n/a	n/a	351	n/a
546.4000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
549.7660000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
552.9700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
553.3400000000	n/a	n/a	n/a	n/a	n/a	151	n/a
556.4800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
557.1500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
560.2800000000	n/a	n/a	n/a	n/a	n/a	351	n/a
566.9600000000	n/a	n/a	n/a	n/a	n/a	51	n/a
569.9200000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
573.2700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
573.6100000000	n/a	n/a	n/a	n/a	n/a	151	n/a
576.7800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
577.4100000000	n/a	n/a	n/a	n/a	n/a	251	n/a
580.5800000000	n/a	n/a	n/a	n/a	n/a	351	n/a
587.2300000000	n/a	n/a	n/a	n/a	n/a	51	n/a
588.2300000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
593.3900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
593.7200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
596.8900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
597.5300000000	n/a	n/a	n/a	n/a	n/a	251	n/a
600.7000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
607.3400000000	n/a	n/a	n/a	n/a	n/a	51	n/a
608.8860000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
613.8500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
614.1900000000	n/a	n/a	n/a	n/a	n/a	151	n/a
617.3600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
617.9900000000	n/a	n/a	n/a	n/a	n/a	251	n/a
621.1700000000	n/a	n/a	n/a	n/a	n/a	351	n/a
627.8100000000	n/a	n/a	n/a	n/a	n/a	51	n/a
630.2380000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
634.3200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
634.6900000000	n/a	n/a	n/a	n/a	n/a	151	n/a
637.8300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
638.4900000000	n/a	n/a	n/a	n/a	n/a	251	n/a
641.6300000000	n/a	n/a	n/a	n/a	n/a	351	n/a
648.3100000000	n/a	n/a	n/a	n/a	n/a	51	n/a
651.9540000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
654.5500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
654.9200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
658.0600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
658.7200000000	n/a	n/a	n/a	n/a	n/a	251	n/a
661.8600000000	n/a	n/a	n/a	n/a	n/a	351	n/a
668.5400000000	n/a	n/a	n/a	n/a	n/a	51	n/a
669.6200000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
675.0200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
675.3500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
678.5200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
679.1600000000	n/a	n/a	n/a	n/a	n/a	251	n/a
682.3300000000	n/a	n/a	n/a	n/a	n/a	351	n/a
688.9700000000	n/a	n/a	n/a	n/a	n/a	51	n/a
690.4040000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
695.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
695.6700000000	n/a	n/a	n/a	n/a	n/a	151	n/a
698.8100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
699.4700000000	n/a	n/a	n/a	n/a	n/a	251	n/a
702.6100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
709.2900000000	n/a	n/a	n/a	n/a	n/a	51	n/a
711.7620000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
715.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
716.0300000000	n/a	n/a	n/a	n/a	n/a	151	n/a
719.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
719.8400000000	n/a	n/a	n/a	n/a	n/a	251	n/a
722.9900000000	n/a	n/a	n/a	n/a	n/a	351	n/a
729.6700000000	n/a	n/a	n/a	n/a	n/a	51	n/a
735.0520000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
735.9200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
736.2500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
739.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
740.0500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
743.2300000000	n/a	n/a	n/a	n/a	n/a	351	n/a
749.8700000000	n/a	n/a	n/a	n/a	n/a	51	n/a
752.8980000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
756.3800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
756.7500000000	n/a	n/a	n/a	n/a	n/a	151	n/a
759.9000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
760.5400000000	n/a	n/a	n/a	n/a	n/a	251	n/a
763.7100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
770.3500000000	n/a	n/a	n/a	n/a	n/a	51	n/a
772.6120000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
776.4600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
776.8300000000	n/a	n/a	n/a	n/a	n/a	151	n/a
779.9700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
780.6400000000	n/a	n/a	n/a	n/a	n/a	251	n/a
783.7700000000	n/a	n/a	n/a	n/a	n/a	351	n/a
790.4500000000	n/a	n/a	n/a	n/a	n/a	51	n/a
796.3980000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
797.0600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
797.2820000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
797.4000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
800.5700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
801.2000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
804.3700000000	n/a	n/a	n/a	n/a	n/a	351	n/a
811.0200000000	n/a	n/a	n/a	n/a	n/a	51	n/a
812.9000000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
817.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
817.6300000000	n/a	n/a	n/a	n/a	n/a	151	n/a
820.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
821.4300000000	n/a	n/a	n/a	n/a	n/a	251	n/a
824.6100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
831.2500000000	n/a	n/a	n/a	n/a	n/a	51	n/a
832.9220000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
835.4720000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
837.6600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
837.9900000000	n/a	n/a	n/a	n/a	n/a	151	n/a
841.1700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
841.8000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
844.9700000000	n/a	n/a	n/a	n/a	n/a	351	n/a
851.6200000000	n/a	n/a	n/a	n/a	n/a	51	n/a
852.4280000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
857.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
858.3400000000	n/a	n/a	n/a	n/a	n/a	151	n/a
861.4800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
862.1500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
865.2900000000	n/a	n/a	n/a	n/a	n/a	351	n/a
