onset	duration	sample	trial_type	response_time	stim_file	value	HED
270.3780000000	n/a	n/a	n/a	n/a	n/a	2	n/a
286.8540000000	n/a	n/a	n/a	n/a	n/a	1	n/a
309.0940000000	n/a	n/a	n/a	n/a	n/a	1	n/a
375.0640000000	n/a	n/a	n/a	n/a	n/a	1	n/a
395.1020000000	n/a	n/a	n/a	n/a	n/a	1	n/a
417.6800000000	n/a	n/a	n/a	n/a	n/a	1	n/a
421.1900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
421.5200000000	n/a	n/a	n/a	n/a	n/a	160	n/a
424.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
425.3300000000	n/a	n/a	n/a	n/a	n/a	260	n/a
428.5000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
435.1400000000	n/a	n/a	n/a	n/a	n/a	60	n/a
436.2140000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
441.6200000000	n/a	n/a	n/a	n/a	n/a	500	n/a
441.9600000000	n/a	n/a	n/a	n/a	n/a	160	n/a
445.1300000000	n/a	n/a	n/a	n/a	n/a	4	n/a
445.7600000000	n/a	n/a	n/a	n/a	n/a	260	n/a
448.9300000000	n/a	n/a	n/a	n/a	n/a	360	n/a
455.5800000000	n/a	n/a	n/a	n/a	n/a	60	n/a
459.2720000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
462.1900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
462.5200000000	n/a	n/a	n/a	n/a	n/a	160	n/a
465.6900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
466.3300000000	n/a	n/a	n/a	n/a	n/a	260	n/a
469.5000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
476.1400000000	n/a	n/a	n/a	n/a	n/a	60	n/a
479.0960000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
482.3900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
482.7200000000	n/a	n/a	n/a	n/a	n/a	160	n/a
485.8900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
486.5300000000	n/a	n/a	n/a	n/a	n/a	260	n/a
489.7000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
496.3400000000	n/a	n/a	n/a	n/a	n/a	60	n/a
497.3180000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
502.5500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
502.8900000000	n/a	n/a	n/a	n/a	n/a	160	n/a
506.0600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
506.6900000000	n/a	n/a	n/a	n/a	n/a	260	n/a
509.8600000000	n/a	n/a	n/a	n/a	n/a	360	n/a
516.5100000000	n/a	n/a	n/a	n/a	n/a	60	n/a
517.8300000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
522.9500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
523.3200000000	n/a	n/a	n/a	n/a	n/a	160	n/a
526.4600000000	n/a	n/a	n/a	n/a	n/a	4	n/a
527.1300000000	n/a	n/a	n/a	n/a	n/a	260	n/a
530.2600000000	n/a	n/a	n/a	n/a	n/a	360	n/a
536.9400000000	n/a	n/a	n/a	n/a	n/a	60	n/a
540.2740000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
543.2900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
543.6200000000	n/a	n/a	n/a	n/a	n/a	160	n/a
546.7900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
547.4300000000	n/a	n/a	n/a	n/a	n/a	260	n/a
550.6000000000	n/a	n/a	n/a	n/a	n/a	360	n/a
557.2600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
558.6520000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
563.5700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
563.9000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
567.0700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
567.7100000000	n/a	n/a	n/a	n/a	n/a	260	n/a
570.8800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
577.5200000000	n/a	n/a	n/a	n/a	n/a	60	n/a
581.4640000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
583.6700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
584.0300000000	n/a	n/a	n/a	n/a	n/a	160	n/a
587.1700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
587.8400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
590.9800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
597.6600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
603.0500000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
604.0700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
604.4300000000	n/a	n/a	n/a	n/a	n/a	160	n/a
607.5700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
608.2400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
611.3800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
618.0600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
619.6520000000	n/a	n/a	n/a	n/a	n/a	4600	n/a
624.4700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
624.8300000000	n/a	n/a	n/a	n/a	n/a	160	n/a
627.9700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
628.6400000000	n/a	n/a	n/a	n/a	n/a	260	n/a
631.7800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
638.4600000000	n/a	n/a	n/a	n/a	n/a	60	n/a
640.1740000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
644.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
645.0700000000	n/a	n/a	n/a	n/a	n/a	160	n/a
648.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
648.8700000000	n/a	n/a	n/a	n/a	n/a	260	n/a
652.0100000000	n/a	n/a	n/a	n/a	n/a	360	n/a
658.6900000000	n/a	n/a	n/a	n/a	n/a	60	n/a
664.3200000000	n/a	n/a	n/a	n/a	n/a	4601	n/a
665.1600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
665.5000000000	n/a	n/a	n/a	n/a	n/a	160	n/a
668.6700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
669.3100000000	n/a	n/a	n/a	n/a	n/a	260	n/a
672.4800000000	n/a	n/a	n/a	n/a	n/a	360	n/a
679.1200000000	n/a	n/a	n/a	n/a	n/a	60	n/a
