onset	duration	sample	trial_type	response_time	stim_file	value	HED
287.2220000000	n/a	n/a	n/a	n/a	n/a	1	n/a
307.5200000000	n/a	n/a	n/a	n/a	n/a	1	n/a
329.0680000000	n/a	n/a	n/a	n/a	n/a	1	n/a
375.3260000000	n/a	n/a	n/a	n/a	n/a	1	n/a
394.9540000000	n/a	n/a	n/a	n/a	n/a	1	n/a
419.0160000000	n/a	n/a	n/a	n/a	n/a	2	n/a
420.3700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
420.7100000000	n/a	n/a	n/a	n/a	n/a	161	n/a
423.8800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
424.5100000000	n/a	n/a	n/a	n/a	n/a	261	n/a
427.6800000000	n/a	n/a	n/a	n/a	n/a	361	n/a
434.3300000000	n/a	n/a	n/a	n/a	n/a	61	n/a
435.3900000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
440.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
441.2700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
444.4100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
445.0800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
448.2200000000	n/a	n/a	n/a	n/a	n/a	361	n/a
454.8900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
456.2320000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
461.3700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
461.7400000000	n/a	n/a	n/a	n/a	n/a	161	n/a
464.8800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
465.5500000000	n/a	n/a	n/a	n/a	n/a	261	n/a
468.6800000000	n/a	n/a	n/a	n/a	n/a	361	n/a
475.3600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
476.6900000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
481.8400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
482.1700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
485.3400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
485.9800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
489.1500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
495.7900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
497.1700000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
502.0400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
502.3700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
505.5400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
506.1800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
509.3500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
515.9900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
517.4800000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
522.1400000000	n/a	n/a	n/a	n/a	n/a	500	n/a
522.4700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
525.6400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
526.2800000000	n/a	n/a	n/a	n/a	n/a	261	n/a
529.4500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
536.0900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
539.4360000000	n/a	n/a	n/a	n/a	n/a	4610	n/a
542.3300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
542.6700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
545.8400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
546.4700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
549.6500000000	n/a	n/a	n/a	n/a	n/a	361	n/a
556.2900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
558.1440000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
562.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
563.0300000000	n/a	n/a	n/a	n/a	n/a	161	n/a
566.2100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
566.8400000000	n/a	n/a	n/a	n/a	n/a	261	n/a
570.0100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
576.6600000000	n/a	n/a	n/a	n/a	n/a	61	n/a
578.7020000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
583.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
583.4700000000	n/a	n/a	n/a	n/a	n/a	161	n/a
586.6100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
587.2700000000	n/a	n/a	n/a	n/a	n/a	261	n/a
590.4100000000	n/a	n/a	n/a	n/a	n/a	361	n/a
597.0900000000	n/a	n/a	n/a	n/a	n/a	61	n/a
598.2620000000	n/a	n/a	n/a	n/a	n/a	4611	n/a
603.5700000000	n/a	n/a	n/a	n/a	n/a	500	n/a
