onset	duration	sample	trial_type	response_time	stim_file	value	HED
700.5820000000	n/a	n/a	n/a	n/a	n/a	2	n/a
716.3660000000	n/a	n/a	n/a	n/a	n/a	2	n/a
738.0880000000	n/a	n/a	n/a	n/a	n/a	1	n/a
741.8900000000	n/a	n/a	n/a	n/a	n/a	500	n/a
742.2200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
745.3800000000	n/a	n/a	n/a	n/a	n/a	4	n/a
746.0400000000	n/a	n/a	n/a	n/a	n/a	251	n/a
749.2000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
755.8600000000	n/a	n/a	n/a	n/a	n/a	51	n/a
758.6800000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
762.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
762.6700000000	n/a	n/a	n/a	n/a	n/a	151	n/a
765.8100000000	n/a	n/a	n/a	n/a	n/a	4	n/a
766.4800000000	n/a	n/a	n/a	n/a	n/a	251	n/a
769.6100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
776.2900000000	n/a	n/a	n/a	n/a	n/a	51	n/a
779.9180000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
782.7300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
783.0700000000	n/a	n/a	n/a	n/a	n/a	151	n/a
786.2400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
786.8800000000	n/a	n/a	n/a	n/a	n/a	251	n/a
790.0500000000	n/a	n/a	n/a	n/a	n/a	351	n/a
796.6900000000	n/a	n/a	n/a	n/a	n/a	51	n/a
797.8420000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
803.0300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
803.3700000000	n/a	n/a	n/a	n/a	n/a	151	n/a
806.5400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
807.1700000000	n/a	n/a	n/a	n/a	n/a	251	n/a
810.3500000000	n/a	n/a	n/a	n/a	n/a	351	n/a
816.9900000000	n/a	n/a	n/a	n/a	n/a	51	n/a
819.7380000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
823.5800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
823.9200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
827.0900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
827.7200000000	n/a	n/a	n/a	n/a	n/a	251	n/a
830.9000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
837.5400000000	n/a	n/a	n/a	n/a	n/a	51	n/a
839.0100000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
843.8500000000	n/a	n/a	n/a	n/a	n/a	500	n/a
844.2200000000	n/a	n/a	n/a	n/a	n/a	151	n/a
847.3500000000	n/a	n/a	n/a	n/a	n/a	4	n/a
848.0200000000	n/a	n/a	n/a	n/a	n/a	251	n/a
851.1600000000	n/a	n/a	n/a	n/a	n/a	351	n/a
857.8400000000	n/a	n/a	n/a	n/a	n/a	51	n/a
859.0640000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
863.9800000000	n/a	n/a	n/a	n/a	n/a	500	n/a
864.3100000000	n/a	n/a	n/a	n/a	n/a	151	n/a
867.4900000000	n/a	n/a	n/a	n/a	n/a	4	n/a
868.1200000000	n/a	n/a	n/a	n/a	n/a	251	n/a
871.2900000000	n/a	n/a	n/a	n/a	n/a	351	n/a
877.9500000000	n/a	n/a	n/a	n/a	n/a	51	n/a
880.0080000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
884.3220000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
884.4300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
884.8000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
887.9400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
888.6000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
891.7400000000	n/a	n/a	n/a	n/a	n/a	351	n/a
898.4200000000	n/a	n/a	n/a	n/a	n/a	51	n/a
900.3480000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
904.9300000000	n/a	n/a	n/a	n/a	n/a	500	n/a
905.2600000000	n/a	n/a	n/a	n/a	n/a	151	n/a
908.4400000000	n/a	n/a	n/a	n/a	n/a	4	n/a
909.0700000000	n/a	n/a	n/a	n/a	n/a	251	n/a
912.2400000000	n/a	n/a	n/a	n/a	n/a	351	n/a
918.8900000000	n/a	n/a	n/a	n/a	n/a	51	n/a
922.1060000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
925.1600000000	n/a	n/a	n/a	n/a	n/a	500	n/a
925.5000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
928.6700000000	n/a	n/a	n/a	n/a	n/a	4	n/a
929.3000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
932.4700000000	n/a	n/a	n/a	n/a	n/a	351	n/a
939.1200000000	n/a	n/a	n/a	n/a	n/a	51	n/a
941.5620000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
945.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
945.9600000000	n/a	n/a	n/a	n/a	n/a	151	n/a
949.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
949.7700000000	n/a	n/a	n/a	n/a	n/a	251	n/a
952.9100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
959.5800000000	n/a	n/a	n/a	n/a	n/a	51	n/a
960.9660000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
965.9100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
966.2400000000	n/a	n/a	n/a	n/a	n/a	151	n/a
969.4200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
970.0500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
973.2100000000	n/a	n/a	n/a	n/a	n/a	351	n/a
979.8800000000	n/a	n/a	n/a	n/a	n/a	51	n/a
983.7140000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
986.3100000000	n/a	n/a	n/a	n/a	n/a	500	n/a
986.6400000000	n/a	n/a	n/a	n/a	n/a	151	n/a
989.8200000000	n/a	n/a	n/a	n/a	n/a	4	n/a
990.4500000000	n/a	n/a	n/a	n/a	n/a	251	n/a
993.6200000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1000.3000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1002.2420000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1006.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1006.9000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1010.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1010.7000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1013.8000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1020.5000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1024.2300000000	n/a	n/a	n/a	n/a	n/a	4510	n/a
1027.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1027.3000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1030.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1031.1000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1034.3000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1040.9000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1043.5640000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1047.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1047.4000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1050.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1051.2000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1054.4000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1061.1000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1063.8720000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1067.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1068.0000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1071.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1071.8000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1075.0000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1081.6000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1084.6020000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1087.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1088.2000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1091.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1092.0000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1095.2000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1101.9000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1104.2440000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1108.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1108.6000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1111.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1112.4000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1115.6000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1122.2000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1123.0480000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1128.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1128.9000000000	n/a	n/a	n/a	n/a	n/a	151	n/a
1132.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1132.7000000000	n/a	n/a	n/a	n/a	n/a	251	n/a
1135.9000000000	n/a	n/a	n/a	n/a	n/a	351	n/a
1142.5000000000	n/a	n/a	n/a	n/a	n/a	51	n/a
1145.8180000000	n/a	n/a	n/a	n/a	n/a	4511	n/a
1148.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1149.2000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1152.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1153.0000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1156.1000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1162.8000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1165.4580000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1169.0000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1169.3000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1172.5000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1173.2000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1176.3000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1183.0000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1184.9920000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1189.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1189.7000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1192.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1193.4000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1196.6000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1203.3000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1204.1600000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1209.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1209.9000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1213.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1213.7000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1216.9000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1223.6000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1225.2220000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1229.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1230.0000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1233.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1233.8000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1237.0000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1243.7000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1246.5700000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1250.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1250.5000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1253.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1254.3000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1257.5000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1264.2000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1267.7000000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1270.6000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1270.9000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1274.1000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1274.7000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1277.9000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1284.5000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1285.4200000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1291.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1291.4000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1294.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1295.2000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1298.4000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1305.1000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1307.9740000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1311.2000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1311.6000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1314.7000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1315.4000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1318.5000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1325.2000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1327.8620000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1331.3000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1331.7000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1334.8000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1335.5000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1338.6000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1345.3000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1347.7620000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1351.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1351.9000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1355.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1355.7000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1358.8000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1365.5000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1367.6140000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1371.9000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1372.3000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1375.4000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1376.1000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1379.2000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1385.9000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1387.7000000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1392.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1392.5000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1395.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1396.3000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1399.4000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1406.1000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1408.1640000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1412.5000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1412.9000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1416.0000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1416.7000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1419.9000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1426.5000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1427.8720000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1433.1000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1433.5000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1436.6000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1437.3000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1440.4000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1447.1000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1448.7780000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1453.7000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1454.0000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1457.2000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1457.8000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1461.0000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1467.7000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1469.4280000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
1473.8000000000	n/a	n/a	n/a	n/a	n/a	500	n/a
1474.1000000000	n/a	n/a	n/a	n/a	n/a	150	n/a
1477.3000000000	n/a	n/a	n/a	n/a	n/a	4	n/a
1477.9000000000	n/a	n/a	n/a	n/a	n/a	250	n/a
1481.1000000000	n/a	n/a	n/a	n/a	n/a	350	n/a
1487.8000000000	n/a	n/a	n/a	n/a	n/a	50	n/a
1489.5480000000	n/a	n/a	n/a	n/a	n/a	4501	n/a
